,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,PCA1,PCA2,cluster
2,23.1,74.7,26.7,33.8,24.4,12.6,1.63,5.2,619,1.5947108475673184,0.8255070994315675,0
13,28.6,53.7,28.9,34.0,23.2,4.5,1.02,11.0,508,-0.5245898644117987,1.8196964197113454,0
45,29.0,83.5,31.5,44.4,27.0,-2.8,1.49,5.7,538,1.161164742914619,1.8778861055496787,0
52,28.1,51.8,36.0,40.3,26.4,5.4,1.15,10.8,264,-0.45553839050094613,2.666824641641935,0
53,32.0,74.9,43.3,45.5,28.8,9.5,1.42,7.8,598,2.173658829724261,2.2437946609471973,0
59,25.9,62.8,25.8,35.6,31.2,19.0,1.48,5.3,411,1.740111654079754,0.8431636632895068,0
82,23.9,73.9,25.9,28.5,21.5,3.1,1.45,5.5,562,0.37302948719933277,1.021831663861605,0
87,35.4,51.9,48.4,53.0,21.0,10.4,1.53,6.6,628,2.1893670765819366,3.016558008334252,0
95,26.7,57.9,50.0,59.6,26.3,9.4,1.68,6.3,541,2.1361202178167673,3.5181628086325762,0
99,32.5,68.3,33.2,40.1,29.0,9.5,1.52,6.5,410,1.6335486394438519,1.6042524609548614,0
110,28.0,83.9,20.9,37.3,21.3,11.1,1.56,5.7,442,1.3095425835484162,0.7610548703827035,0
113,36.2,77.1,35.3,43.9,20.4,14.4,1.38,5.6,599,2.439173024986822,1.5318831004969313,0
128,33.7,89.4,30.0,47.3,26.5,8.1,1.41,6.0,613,2.374968894143791,1.362286118456883,0
134,35.0,80.5,43.6,55.1,27.9,11.3,1.65,6.9,664,3.2331032107069086,2.315696325253471,0
147,32.1,73.6,39.4,54.8,39.5,6.8,2.0,4.2,493,3.371908848850935,2.0830446864568772,0
149,27.6,52.0,48.9,53.6,28.7,5.1,1.65,5.6,364,1.4235553595437516,3.5004493424562386,0
156,28.2,89.5,44.9,53.9,29.1,12.1,1.29,6.7,544,2.5262443548870697,2.6249579596091475,0
158,32.5,53.4,45.9,52.7,27.2,10.8,1.21,7.5,513,1.6621419579514467,3.0416825775091216,0
168,32.5,75.1,24.9,36.0,25.8,6.3,1.69,6.4,516,1.5413789466912902,0.8632530054754354,0
173,28.0,90.3,35.4,58.2,41.2,7.9,2.06,5.1,662,3.9114207608296003,1.6889741663544837,0
195,25.3,83.3,33.9,44.0,35.9,9.1,1.41,6.2,488,1.9745684442255633,1.6575706353003117,0
197,23.9,61.4,28.2,40.3,37.0,11.3,1.56,6.9,559,1.6873115422683689,1.226777145855288,0
214,40.0,66.1,21.7,41.3,28.1,2.7,1.66,5.9,745,2.2456513004812146,0.5847450696527451,0
226,35.4,84.6,34.1,42.9,23.9,9.4,1.63,9.1,629,2.2252348901890477,1.4580257732665263,0
231,30.5,75.1,21.5,34.0,25.6,7.6,1.21,6.1,401,0.7207938127254525,0.8673541502381581,0
235,30.2,77.2,34.4,44.0,33.6,12.7,1.34,6.4,372,1.9756391713107415,1.7164588541218002,0
