,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,PCA1,PCA2,cluster
3,27.1,39.1,6.1,6.3,13.5,5.3,1.15,11.1,551,-2.1560795708610905,-0.41246407444364896,3
4,26.5,70.7,6.9,16.0,21.9,5.6,1.01,12.7,303,-1.7423702116330309,-0.05335952884099817,3
10,26.3,65.7,1.3,5.5,18.3,5.9,0.85,13.0,529,-2.0709241423458757,-0.897388828511455,3
12,20.0,53.3,3.7,12.9,26.1,6.6,1.09,10.2,538,-1.50169189974061,-0.5262330059937694,3
14,22.3,80.5,4.5,12.0,17.2,6.3,1.18,10.4,232,-1.8409585868253067,-0.32888707071423734,3
16,22.9,75.4,4.5,10.4,18.4,3.7,0.96,14.4,359,-2.4662465944701437,-0.23844314062551253,3
20,27.6,44.1,3.5,14.4,30.7,9.4,0.97,8.0,338,-1.0510087327529436,-0.578678908356889,3
21,27.6,77.5,3.8,10.9,9.1,1.7,1.04,14.4,520,-2.3112780749567206,-0.3573893582220857,3
22,25.6,58.3,0.4,-0.2,25.3,4.5,0.98,10.0,536,-1.6887387493860877,-1.3561963444302003,3
23,24.6,48.4,8.3,15.4,23.3,4.6,1.03,11.2,461,-1.773951376394788,0.03604979405805854,3
24,26.2,49.9,0.5,2.0,22.9,2.3,0.94,17.9,581,-2.866987151061542,-0.8317756990947195,3
25,22.6,62.1,16.4,21.3,17.6,4.8,0.93,11.5,324,-2.015761652768642,0.9858841200690504,3
26,30.0,69.2,2.0,3.9,15.3,5.2,1.09,10.1,297,-1.9056255035795706,-0.8901397988210605,3
28,29.6,65.6,3.4,9.3,20.6,2.9,1.03,10.2,452,-1.5099333700504303,-0.726521918337051,3
30,23.3,45.2,24.0,29.0,26.6,5.3,0.96,10.9,575,-0.913209652903889,1.3898809067906441,3
32,21.8,79.6,7.1,16.8,14.5,6.0,0.91,10.8,455,-1.7324794089600764,-0.0392269350960139,3
33,27.5,78.9,30.2,34.1,15.3,3.0,0.98,11.1,472,-0.6766687965719093,1.946636155282919,3
34,28.0,72.2,18.5,25.0,24.9,6.1,1.32,13.2,480,-0.41596747041384313,0.5961948199368471,3
35,22.2,50.0,2.3,8.4,23.5,3.7,0.96,10.2,547,-1.991325072400338,-0.6505788613592018,3
38,17.4,56.5,2.6,6.9,21.0,3.5,0.92,11.6,475,-2.665074599651439,-0.4327058800345579,3
39,18.1,70.1,3.1,8.1,19.7,5.8,1.18,12.9,273,-2.5298790622501874,-0.35612423625875467,3
40,25.6,78.1,1.1,5.2,21.3,6.1,0.89,10.9,524,-1.4592555753355922,-1.1745619301762285,3
41,22.4,69.3,2.2,8.4,19.6,3.0,0.92,10.2,339,-2.3027709823437403,-0.5027644929638492,3
42,27.5,45.3,2.8,10.1,13.7,4.1,0.82,10.6,236,-2.969566199914881,-0.04473133312101219,3
48,20.8,48.5,16.0,19.7,11.2,2.5,1.17,10.2,432,-2.2995472697509762,1.0329133861485775,3
49,21.5,60.0,14.6,20.6,20.9,1.6,0.94,10.7,587,-1.5975432795517093,0.6013757223058728,3
50,29.6,63.1,12.8,15.9,22.0,3.8,1.16,11.0,377,-1.2242569840026603,0.1436123497692448,3
51,17.5,73.8,3.3,8.8,16.2,8.4,0.83,10.8,217,-2.681692187112737,-0.2432564197055327,3
54,25.0,63.9,9.3,10.8,15.8,4.6,0.92,10.1,490,-1.8130416451607267,-0.14362508453288508,3
56,26.7,63.2,6.8,9.3,13.4,4.9,0.98,10.0,358,-2.0974304249443145,-0.22506726835712884,3
57,20.4,44.9,4.6,9.2,20.5,5.7,1.03,10.2,545,-2.0825882374419,-0.4033497110182333,3
60,22.1,54.0,10.6,15.4,13.9,8.9,1.0,10.5,265,-2.280113500136,0.450153926784085,3
61,24.9,63.5,6.1,13.9,17.2,4.3,1.18,16.4,390,-2.4308165229293315,0.04002529647743859,3
62,28.0,55.2,12.4,21.2,27.7,3.7,0.99,10.6,467,-1.035473241252688,0.2861853250030035,3
63,26.7,53.9,2.9,6.4,11.1,6.6,0.96,11.8,533,-2.272846782932818,-0.615678897069015,3
66,25.5,73.4,13.8,21.4,25.7,3.8,0.95,11.0,194,-1.5348518626825325,0.6363654374170585,3
67,28.2,49.6,17.0,21.7,19.7,11.3,0.99,11.1,214,-1.4694994024096084,0.8643163843467551,3
69,18.8,77.7,11.0,15.8,20.0,5.6,1.09,11.2,409,-1.6341347770505545,0.15354159518937907,3
70,26.3,77.5,23.1,29.5,15.1,3.7,0.92,10.4,399,-1.1039552684958887,1.44033678132011,3
72,23.0,50.7,1.1,5.0,24.8,2.1,1.12,12.4,593,-2.0733494759712316,-0.8940501922163089,3
73,22.3,78.8,19.3,26.0,26.1,5.5,0.82,10.7,214,-1.3353750019774249,1.1321861352116969,3
74,21.4,76.9,2.3,6.7,23.4,2.8,1.09,14.7,338,-2.427258815554697,-0.5808716471446925,3
75,22.4,73.0,12.2,15.0,26.6,3.6,0.97,12.9,266,-1.9253943312958357,0.32669683383645554,3
79,25.5,48.0,15.5,19.9,18.6,7.7,1.04,10.3,503,-1.3046855980628658,0.5489078405930252,3
81,29.3,67.5,1.9,5.0,12.1,4.5,1.12,11.0,576,-1.659532543576161,-1.0193635829540004,3
83,23.7,40.0,20.7,23.0,20.4,6.2,1.05,12.5,318,-2.041214535034306,1.4024147966664913,3
84,21.9,70.1,5.4,10.4,13.5,1.1,1.09,12.5,224,-2.9651982366217218,0.11511835665666553,3
85,27.0,45.5,6.2,13.0,24.3,5.0,1.01,10.7,205,-2.1895572030314425,0.021329740599822473,3
86,22.2,75.7,19.0,20.7,20.1,5.3,1.03,10.7,316,-1.4144010443751382,0.87304772819743,3
89,21.0,60.5,4.6,8.9,15.1,6.8,0.93,10.2,378,-2.368555048887278,-0.2872775276855638,3
91,23.9,66.7,14.3,16.9,21.8,7.8,1.07,10.4,413,-1.1336178669965344,0.23760996503706897,3
92,24.6,45.1,0.4,6.4,21.2,1.7,0.94,10.1,226,-2.9350681027318135,-0.3892456450294517,3
94,22.5,73.0,0.2,6.2,15.0,5.5,0.95,14.2,543,-2.360133634873147,-0.8293347777844104,3
96,24.6,51.3,3.9,8.0,21.7,5.9,0.98,12.8,454,-2.195747601850879,-0.4875239786222816,3
102,22.3,75.4,0.7,4.7,23.7,7.3,0.93,11.4,291,-2.0320306630948743,-0.924257999307947,3
104,28.3,40.6,2.3,6.9,25.3,4.0,0.88,12.5,590,-1.976178055550249,-0.7685089550282038,3
108,22.9,66.9,7.8,16.3,21.8,8.1,1.07,10.0,435,-1.2139455680300193,-0.19365327629457427,3
111,22.9,40.5,3.7,7.3,13.4,0.9,1.12,12.6,246,-3.5412217987344876,0.12636955920018525,3
114,27.6,75.9,20.3,25.9,26.6,4.9,1.11,10.8,334,-0.5501064578965964,0.8607463616659566,3
115,32.8,60.4,1.6,12.8,28.1,5.7,1.36,12.5,406,-0.8494744512634249,-0.9279776638711834,3
116,21.6,71.5,1.3,6.5,23.8,4.8,0.89,13.8,384,-2.38571489953883,-0.6896565088682506,3
119,24.2,64.4,1.1,7.2,11.7,8.6,1.08,10.9,239,-2.4543951359621046,-0.5373152421156038,3
121,29.2,72.1,25.5,32.3,13.3,5.7,1.08,10.9,358,-0.8561542680781041,1.665668092785989,3
122,20.1,41.7,3.6,8.2,23.2,9.1,0.97,10.4,370,-2.2813639920590973,-0.4001612264121206,3
129,23.0,44.6,23.1,28.1,16.2,9.0,0.95,10.0,437,-1.4132216164671725,1.5410687026628525,3
